"","interests_correlate","d_interests_correlate"
"1","0.14","[0-0.33]"
"2","0.54","[0.33-1]"
"3","0.16","[0-0.33]"
"4","0.61","[0.33-1]"
"5","0.21","[0-0.33]"
"6","0.25","[0-0.33]"
"7","0.34","[0.33-1]"
"8","0.5","[0.33-1]"
"9","0.28","[0-0.33]"
"10","-0.36","[-1-0]"
"11","0.29","[0-0.33]"
"12","0.18","[0-0.33]"
"13","0.1","[0-0.33]"
"14","-0.21","[-1-0]"
"15","0.32","[0-0.33]"
"16","0.73","[0.33-1]"
"17","0.6","[0.33-1]"
"18","0.07","[0-0.33]"
"19","0.11","[0-0.33]"
"20","0.39","[0.33-1]"
"21","-0.24","[-1-0]"
"22","-0.14","[-1-0]"
"23","0.09","[0-0.33]"
"24","-0.04","[-1-0]"
"25","-0.14","[-1-0]"
"26","-0.3","[-1-0]"
"27","-0.26","[-1-0]"
"28","0.29","[0-0.33]"
"29","-0.15","[-1-0]"
"30","-0.47","[-1-0]"
"31","-0.18","[-1-0]"
"32","-0.18","[-1-0]"
"33","0.05","[0-0.33]"
"34","-0.18","[-1-0]"
"35","0.21","[0-0.33]"
"36","0.37","[0.33-1]"
"37","0.35","[0.33-1]"
"38","0.15","[0-0.33]"
"39","-0.47","[-1-0]"
"40","-0.19","[-1-0]"
"41","-0.43","[-1-0]"
"42","0","[-1-0]"
"43","-0.17","[-1-0]"
"44","0.08","[0-0.33]"
"45","-0.16","[-1-0]"
"46","0.06","[0-0.33]"
"47","-0.05","[-1-0]"
"48","0.07","[0-0.33]"
"49","-0.13","[-1-0]"
"50","-0.06","[-1-0]"
"51","0.33","[0-0.33]"
"52","0.37","[0.33-1]"
"53","-0.51","[-1-0]"
"54","0.12","[0-0.33]"
"55","0.35","[0.33-1]"
"56","0.19","[0-0.33]"
"57","0.47","[0.33-1]"
"58","0.03","[0-0.33]"
"59","0.46","[0.33-1]"
"60","0.43","[0.33-1]"
"61","0.19","[0-0.33]"
"62","0.21","[0-0.33]"
"63","0.52","[0.33-1]"
"64","-0.46","[-1-0]"
"65","-0.27","[-1-0]"
"66","0.59","[0.33-1]"
"67","0.31","[0-0.33]"
