gender,age,age_o,d_age,race,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,met,decision,match
female,21,27,6,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,35,20,20,20,0,5,6,8,8,8,8,6,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,0,1,0
female,21,22,1,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,60,0,0,40,0,0,7,8,10,7,7,5,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,1,1,0
female,21,22,1,'Asian/Pacific Islander/Asian-American',1,2,4,LAW,19,18,19,18,14,12,10,10,10,10,10,10,15,20,20,15,15,15,6,8,8,8,7,5,8,9,8,5,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,1,1,1
female,21,23,2,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,0,1,1
female,21,24,3,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,0,1,1
female,21,25,4,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,50,0,30,10,0,10,7,7,8,8,7,7,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,0,0,0
female,21,30,9,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,35,15,25,10,5,10,3,6,7,5,8,7,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,0,1,0
female,21,27,6,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,15,20,20,15,15,15,6,8,8,8,7,4,9,7,6,5,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,1,0,0
female,21,28,7,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,7,0,1,1
female,21,24,3,'Asian/Pacific Islander/Asian-American',0,2,4,LAW,100,0,0,0,0,0,6,6,6,6,6,6,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2,4,6,0,1,0
female,24,27,3,European/Caucasian-American,1,2,5,LAW,35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6,0,0,0
